Id,College Name,Course,DEFOBCS,DEFOPENS,DEFRNT1S,DEFRNT2S,DEFRNT3S,DEFROBCS,DEFRSCS,DEFRVJS,DEFSCS,EWS,GNT1H,GNT1O,GNT1S,GNT2H,GNT2O,GNT2S,GNT3H,GNT3O,GNT3S,GOBCH,GOBCO,GOBCS,GOPENH,GOPENO,GOPENS,GSCH,GSCO,GSCS,GSTH,GSTO,GSTS,GVJH,GVJO,GVJS,LNT1H,LNT1O,LNT1S,LNT2H,LNT2O,LNT2S,LNT3H,LNT3O,LNT3S,LOBCH,LOBCO,LOBCS,LOPENH,LOPENO,LOPENS,LSCH,LSCO,LSCS,LSTH,LSTO,LSTS,LVJH,LVJO,LVJS,MI,ORPHAN,PWDOBCH,PWDOBCS,PWDOPENH,PWDOPENS,PWDRNT1S,PWDRNT2H,PWDRNT2S,PWDROBC,PWDRSCH,PWDRSCS,PWDRVJH,PWDRVJS,PWDSCH,PWDSCS,TFWS
319692010,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92184,,,,,,,,,,,,,,,,32761
319724510,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,6272,,,,,,,,,,,,,,,,,,,,,,,,6184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319724510,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,9705,,,,,,,,,,,,,,,,,,,,,,,,10797,,,,,,,,,,,,,,,,,,,,,,,,,,,
319724510,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39706,,,,,,,,,,,,,,,,4770
319724610,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Information Technology,,,,,,,,,,,,,,,,,,,,,,,7433,,,,,,,,,,,,,,,,,,,,,,,,8014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319724610,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Information Technology,,,,,,,,,,,,,,,,,,,,,,,,10172,,,,,,,,,,,,,,,,,,,,,,,,10798,,,,,,,,,,,,,,,,,,,,,,,,,,,
319724610,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119294,,,,,,,,,,,,,,,,5749
319729310,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Electrical Engineering,,,,,,,,,,,,,,,,,,,,,,,24877,,,,,,,,,,,,,,,,,,,,,,,,36763,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319729310,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Electrical Engineering,,,,,,,,,,,,,,,,,,,,,,,,63626,,,,,,,,,,,,,,,,,,,,,,,,69892,,,,,,,,,,,,,,,,,,,,,,,,,,,
319729310,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Electrical Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85044,,,,,,,,,,,,,,,,19436
319737210,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Electronics and Telecommunication Engg,,,,,,,,,,,,,,,,,,,,,,,16535,,,,,,,,,,,,,,,,,,,,,,,,14135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319737210,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Electronics and Telecommunication Engg,,,,,,,,,,,,,,,,,,,,,,,,16199,,,,,,,,,,,,,,,,,,,,,,,,5116,,,,,,,,,,,,,,,,,,,,,,,,,,,
319737210,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Electronics and Telecommunication Engg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109420,,,,,,,,,,,,,,,,20653
319761210,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,46467,,,,,,,,,,,,,,,,,,,,,,,,91104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319761210,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,,111858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319761210,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91205,,,,,,,,,,,,,,,,29766
319824210,"Konkan Gyanpeeth College of Engineering, Karjat",Computer Science and Engineering,,,,,,,,,,,,,,68502,,,,,,71817,,,48055,,,80240,,,,,,,,,,,,,,,,,,58531,,,54538,,,70566,,,,,,,,,,,,,,,,,,,,,,,,,
319824210,"Konkan Gyanpeeth College of Engineering, Karjat",Computer Science and Engineering,,,,,,,,,,,103463,,,,,,,,,,,,,,,,,,,,,75218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319824210,"Konkan Gyanpeeth College of Engineering, Karjat",Computer Science and Engineering,,,,,,,,,,,,,,,,,,,,,78661,,,78139,,,97226,,,,,,,,,,,,,,,,,,,,,92299,,,,,,,,,,,,,,,,,,,,,,,,,,,
319824210,"Konkan Gyanpeeth College of Engineering, Karjat",Computer Science and Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319824210,"Konkan Gyanpeeth College of Engineering, Karjat",Computer Science and Engineering,,90154,,,,,,,,63757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30724
319824510,"Konkan Gyanpeeth College of Engineering, Karjat",Computer Engineering,,,,,,,,,,,101744,,,62777,,,,,,55346,,,44676,,,59434,,,,,,80138,,,,,,,,,,,,63489,,,43761,,,48650,,,,,,,,,,,,,,,,,,,,,,,,,
319824510,"Konkan Gyanpeeth College of Engineering, Karjat",Computer Engineering,,,,,,,,,,,,,,,104431,,,,,,66170,,,65534,,,80547,,,,,,97968,,,,,,,,,,,,86700,,,81345,,,,,,,,,,,,,,,,,,,,,,,,,,,
319824510,"Konkan Gyanpeeth College of Engineering, Karjat",Computer Engineering,,,,,,,,,,56628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25583
319824610,"Konkan Gyanpeeth College of Engineering, Karjat",Information Technology,,,,,,,,,,,93404,,,62658,,,53221,,,55072,,,48191,,,60418,,,,,,99706,,,,,,,,,,,,48654,,,48555,,,52420,,,,,,,,,,,,,90568,,,,,,,,,,,,
319824610,"Konkan Gyanpeeth College of Engineering, Karjat",Information Technology,,,,,,,,,,,,,,,,,,,,,88912,,,81352,,,103532,,,,,,,,,,,,,,,,,,81761,,,65911,,,,,,,,,,,,,,,,,,,,,,,,,,,
319824610,"Konkan Gyanpeeth College of Engineering, Karjat",Information Technology,,,,,,,,,,60487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30134
319861210,"Konkan Gyanpeeth College of Engineering, Karjat",Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,92686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319899510,"Konkan Gyanpeeth College of Engineering, Karjat",Artificial Intelligence and Data Science,,,,,,,,,,,,,,85739,,,,,,77767,,,60352,,,81001,,,,,,,,,,,,,,,,,,99230,,,68764,,,79237,,,,,,,,,,,,,,,,,,,,,,,,,
319899510,"Konkan Gyanpeeth College of Engineering, Karjat",Artificial Intelligence and Data Science,,,,,,,,,,,117585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319899510,"Konkan Gyanpeeth College of Engineering, Karjat",Artificial Intelligence and Data Science,,,,,,,,,,,,,,,,,,,,,,,,105315,,,,,,,,,,,,,,,,,,,,,105138,,,76563,,,,,,,,,,,,,,,,,,,,,,,,,,,
319899510,"Konkan Gyanpeeth College of Engineering, Karjat",Artificial Intelligence and Data Science,,,,,,,,,,,,,,,106011,,,,,,77085,,,,,,89073,,,,,,,,,,,,,,,,,,,,,,,,95777,,,,,,,,,,,,,,,,,,,,,,,,
319899510,"Konkan Gyanpeeth College of Engineering, Karjat",Artificial Intelligence and Data Science,,,,,,,,,,105280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319924510,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,1021,,,,,,,,,,,,,,,,,,,,,,,,1536,,,,,,,,,,3036,,,,,,,,,,,,,,,,941
319924610,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,2112,,,,,,,,,,,,,,,,,,,,,,,,2800,,,,,,,,,,5953,,,,,,,,,,,,,,,,1281
319926310,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Artificial Intelligence (AI) and Data Science,,,,,,,,,,,,,,,,,,,,,,,,,2881,,,,,,,,,,,,,,,,,,,,,,,,3976,,,,,,,,,,9040,,,,,,,,,,,,,,,,2586
319937210,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Electronics and Telecommunication Engg,,,,,,,,,,,,,,,,,,,,,,,,,6146,,,,,,,,,,,,,,,,,,,,,,,,8993,,,,,,,,,,32534,,,,,,,,,,,,,,,,6209
319961210,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,,,13402,,,,,,,,,,,,,,,,,,,,,,,,23981,,,,,,,,,,117488,,,,,,,,,,,,,,,,18401
319991210,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Computer Science and Engineering(Data Science),,,,,,,,,,,,,,,,,,,,,,,,,2384,,,,,,,,,,,,,,,,,,,,,,,,3348,,,,,,,,,,8252,,,,,,,,,,,,,,,,2057
319992010,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,,,,,,,,,,,,,,,,,,,,,,,,,3170,,,,,,,,,,,,,,,,,,,,,,,,4750,,,,,,,,,,11959,,,,,,,,,,,,,,,,2819
319992110,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Artificial Intelligence and Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,2612,,,,,,,,,,,,,,,,,,,,,,,,4088,,,,,,,,,,10549,,,,,,,,,,,,,,,,3047
320024610,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",Information Technology,,,,,,,,,,,43305,,,99417,,,,,,44610,,,35044,,,41395,,,,,,87310,,,,,,,,,,,,38571,,,26701,,,39819,,,,,,,,,,,,,,,,,,,,,,,,,
320024610,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",Information Technology,,,,,,,,,,,,,,,,,102383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320024610,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",Information Technology,,,,,,,,,,,,,,,75915,,,,,,81988,,,54144,,,100184,,,,,,,,,,,,,,,,,,,,,56357,,,,,,,,,,,,,,,,,,,,,,,,,,,
