Sr. No.,Institute Code,Institute Name,Status,Total Intake
212.0,5382,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti",Un-Aided,300
213.0,5390,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik.",Un-Aided,330
214.0,5396,"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon",Un-Aided,120
215.0,5399,"Sanghavi College of Engineering, Varvandi, Nashik.",Un-Aided,360
216.0,5401,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik.",Un-Aided,466
217.0,5408,"Vidya Niketan College of Engineering, Bota Sangamner",Un-Aided,270
218.0,5409,"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar",Un-Aided,360
219.0,5411,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.","Un-Aided, Religious Minority - Muslim",300
220.0,5418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik.",Un-Aided,420
221.0,5433,"R.C. Patel College of Engineering and Polytechnic, Shirpur","Un-Aided, Linguistic Minority - Gujarathi",240
222.0,5449,"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule","Un-Aided, Linguistic Minority - Gujarathi",600
223.0,5497,"P.G. College of Engineering & Technology, Nandurbar",Un-Aided,240
224.0,5509,"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota",Un-Aided,240
225.0,5513,"MKD Institute of Technology, Nadurbar",Un-Aided,180
226.0,5545,"Shri. Vile Parle Kelwani Mandal's College of Engineering, Shirpur","Un-Aided, Linguistic Minority - Gujarathi",360
227.0,6004,"Government College of Engineering & Research, Avasari Khurd",Government,360
228.0,6005,"Government College of Engineering, Karad","Government, Autonomous",300
229.0,6007,"Walchand College of Engineering, Sangli","Government-Aided, Autonomous",660
230.0,6028,"Department of Technology, Shivaji University, Kolhapur",University Department,360
231.0,6036,"Government College of Engineering, Kolhapur",Government,300
232.0,6122,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Un-Aided,480
233.0,6138,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune",Un-Aided,420
